genres,id,vote_average,keywords
[{'id': 35}],13997.0,<6.0>,"[{'id': 169078}, {'id': 169079}, {'id': 169085}, {'id': 169086}, {'id': 169097}, {'id': 187056}]"
"[{'id': 80}, {'id': 18}, {'id': 53}]",2086.0,<8.0>,"[{'id': 441}, {'id': 477}, {'id': 6078}, {'id': 12670}]"
"[{'id': 18}, {'id': 27}, {'id': 53}, {'id': 10749}]",9095.0,<6.0>,"[{'id': 964}, {'id': 1299}, {'id': 10124}, {'id': 156033}, {'id': 191009}, {'id': 207928}]"
"[{'id': 35}, {'id': 27}, {'id': 10749}]",12158.0,<6.0>,"[{'id': 3133}, {'id': 3630}]"
"[{'id': 35}, {'id': 18}, {'id': 10749}]",9283.0,<8.0>,[{'id': 155808}]
"[{'id': 28}, {'id': 12}, {'id': 18}, {'id': 53}]",9208.0,<6.0>,"[{'id': 720}, {'id': 1261}, {'id': 1316}, {'id': 1353}, {'id': 1666}, {'id': 1825}, {'id': 3203}, {'id': 5572}, {'id': 8122}, {'id': 9052}, {'id': 10085}, {'id': 12371}, {'id': 13008}, {'id': 14601}, {'id': 15263}, {'id': 18034}, {'id': 162365}, {'id': 208547}, {'id': 209476}, {'id': 214472}, {'id': 215861}, {'id': 219869}]"
[{'id': 35}],40154.0,<8.0>,"[{'id': 14531}, {'id': 185011}, {'id': 207317}, {'id': 207716}]"
[{'id': 18}],406.0,<8.0>,"[{'id': 90}, {'id': 376}, {'id': 379}, {'id': 642}, {'id': 796}, {'id': 898}, {'id': 1419}, {'id': 1952}, {'id': 1974}, {'id': 1975}, {'id': 3925}, {'id': 9748}, {'id': 14632}, {'id': 14819}, {'id': 15090}, {'id': 156052}, {'id': 156702}, {'id': 160910}]"
[{'id': 99}],63076.0,<8.0>,"[{'id': 2398}, {'id': 12396}, {'id': 13059}]"
"[{'id': 18}, {'id': 53}]",11062.0,<6.0>,"[{'id': 417}, {'id': 1568}, {'id': 1601}, {'id': 1919}, {'id': 2231}, {'id': 2946}, {'id': 4654}, {'id': 5340}, {'id': 6149}, {'id': 14964}]"
"[{'id': 35}, {'id': 80}, {'id': 18}]",13685.0,<8.0>,"[{'id': 380}, {'id': 642}, {'id': 1437}, {'id': 2568}, {'id': 2669}, {'id': 10183}, {'id': 10323}, {'id': 13097}, {'id': 14604}, {'id': 15274}, {'id': 187710}, {'id': 187717}]"
"[{'id': 18}, {'id': 9648}, {'id': 878}, {'id': 53}]",2045.0,<6.0>,"[{'id': 1157}, {'id': 1706}, {'id': 6149}, {'id': 9826}, {'id': 9937}, {'id': 10937}, {'id': 160313}, {'id': 163114}, {'id': 168069}]"
[{'id': 35}],9614.0,<8.0>,"[{'id': 936}, {'id': 1872}, {'id': 2702}, {'id': 6075}, {'id': 6128}]"
"[{'id': 18}, {'id': 10749}]",688.0,<8.0>,"[{'id': 455}, {'id': 596}, {'id': 699}, {'id': 1003}, {'id': 1157}, {'id': 2029}, {'id': 2038}, {'id': 2784}, {'id': 3450}, {'id': 3451}, {'id': 3452}, {'id': 4402}, {'id': 5809}, {'id': 6025}, {'id': 6059}, {'id': 7879}, {'id': 221355}]"
"[{'id': 18}, {'id': 35}, {'id': 10751}]",11907.0,<6.0>,"[{'id': 530}, {'id': 3392}, {'id': 9457}, {'id': 13072}, {'id': 187056}, {'id': 196682}]"
"[{'id': 28}, {'id': 35}, {'id': 10402}, {'id': 10751}, {'id': 12}]",10874.0,<8.0>,"[{'id': 2041}, {'id': 4418}, {'id': 6300}, {'id': 6956}]"
[{'id': 80}],96357.0,<2>,[{'id': 156121}]
"[{'id': 28}, {'id': 18}, {'id': 36}, {'id': 10752}]",197.0,<8.0>,"[{'id': 30}, {'id': 388}, {'id': 930}, {'id': 3754}, {'id': 4097}, {'id': 6987}, {'id': 162845}, {'id': 189433}]"
"[{'id': 80}, {'id': 18}]",103.0,<10.0>,"[{'id': 422}, {'id': 444}, {'id': 1523}, {'id': 2231}, {'id': 4225}, {'id': 7002}, {'id': 7368}, {'id': 9622}, {'id': 11325}, {'id': 33625}, {'id': 167104}]"
"[{'id': 80}, {'id': 28}, {'id': 35}, {'id': 53}]",33542.0,<8.0>,"[{'id': 242}, {'id': 779}, {'id': 1545}, {'id': 2987}, {'id': 4640}, {'id': 10726}, {'id': 13027}, {'id': 33461}, {'id': 161307}, {'id': 179431}]"
[{'id': 18}],71754.0,<8.0>,"[{'id': 6015}, {'id': 40897}, {'id': 164742}, {'id': 188645}]"
[{'id': 35}],43612.0,<8.0>,"[{'id': 12392}, {'id': 15016}, {'id': 17953}, {'id': 177035}, {'id': 187056}]"
"[{'id': 99}, {'id': 18}, {'id': 10769}]",51352.0,<8.0>,"[{'id': 1755}, {'id': 2450}, {'id': 4020}, {'id': 4399}, {'id': 4434}, {'id': 10360}, {'id': 11728}, {'id': 15199}]"
"[{'id': 35}, {'id': 80}, {'id': 18}]",16934.0,<8.0>,"[{'id': 212}, {'id': 351}, {'id': 9672}, {'id': 9826}, {'id': 10714}, {'id': 11857}, {'id': 13130}, {'id': 15106}, {'id': 232550}, {'id': 234682}]"
"[{'id': 35}, {'id': 10749}]",10324.0,<6.0>,"[{'id': 1253}, {'id': 9457}, {'id': 9673}, {'id': 10183}, {'id': 12392}, {'id': 158967}]"
"[{'id': 35}, {'id': 18}]",78406.0,<6.0>,"[{'id': 380}, {'id': 7375}, {'id': 10909}, {'id': 155881}, {'id': 208563}]"
"[{'id': 28}, {'id': 12}, {'id': 35}, {'id': 18}, {'id': 10751}]",55731.0,<6.0>,"[{'id': 1668}, {'id': 5657}, {'id': 10508}, {'id': 33885}, {'id': 175976}]"
"[{'id': 35}, {'id': 10749}]",11066.0,<6.0>,"[{'id': 2273}, {'id': 2336}, {'id': 3836}, {'id': 6779}, {'id': 7769}, {'id': 8642}, {'id': 9094}]"
"[{'id': 18}, {'id': 35}, {'id': 10749}]",11104.0,<8.0>,"[{'id': 1595}, {'id': 3391}, {'id': 5490}, {'id': 6618}, {'id': 9840}, {'id': 12354}, {'id': 180294}, {'id': 185265}, {'id': 185266}]"
"[{'id': 35}, {'id': 10749}]",2074.0,<8.0>,"[{'id': 5498}, {'id': 6230}, {'id': 6231}, {'id': 10183}]"
[{'id': 14}],27793.0,<6.0>,"[{'id': 334}, {'id': 2343}]"
[{'id': 18}],44284.0,<6.0>,[{'id': 187056}]
"[{'id': 35}, {'id': 18}]",32622.0,<6.0>,"[{'id': 10183}, {'id': 187056}]"
"[{'id': 18}, {'id': 10749}, {'id': 10752}]",73067.0,<6.0>,"[{'id': 5202}, {'id': 13028}, {'id': 14985}, {'id': 187844}, {'id': 208501}]"
"[{'id': 28}, {'id': 53}, {'id': 9648}, {'id': 10749}]",11863.0,<6.0>,"[{'id': 550}, {'id': 582}, {'id': 5340}, {'id': 9826}]"
"[{'id': 35}, {'id': 18}, {'id': 10749}]",55475.0,<6.0>,"[{'id': 242}, {'id': 1625}, {'id': 190019}]"
[{'id': 35}],9101.0,<6.0>,"[{'id': 339}, {'id': 4410}, {'id': 9789}]"
[{'id': 99}],123360.0,<8.0>,[{'id': 5565}]
[{'id': 35}],5757.0,<4.0>,"[{'id': 10180}, {'id': 10183}, {'id': 11800}]"
[{'id': 18}],39428.0,<8.0>,"[{'id': 531}, {'id': 818}, {'id': 10229}, {'id': 207981}]"
"[{'id': 18}, {'id': 10749}]",9302.0,<6.0>,"[{'id': 238179}, {'id': 238241}, {'id': 238242}]"
[{'id': 35}],11000.0,<8.0>,"[{'id': 237}, {'id': 824}, {'id': 1013}, {'id': 1196}, {'id': 1862}, {'id': 2944}, {'id': 6083}, {'id': 158718}, {'id': 201554}, {'id': 210608}]"
[{'id': 18}],249882.0,<8.0>,"[{'id': 1262}, {'id': 2618}, {'id': 10164}, {'id': 173644}, {'id': 178611}]"
"[{'id': 35}, {'id': 18}, {'id': 10749}]",16388.0,<8.0>,"[{'id': 9673}, {'id': 10183}, {'id': 12392}, {'id': 188993}, {'id': 208725}]"
